geneId,uniqueDiseases,uniqueTherapeuticAreas,maxEQTLColoc,maxPQTLColoc,maxVEP,maxDistanceTSS,minEffectiveSampleSize,maxEffectiveSampleSize,earliestPublicationDate,cancerOrBenignTumor,infectiousDisease,pregnancyOrPerinatalDisease,disorderOfVisualSystem,cardiovascularDisease,pancreasDisease,gastrointestinalDisease,reproductiveSystemOrBreastDisease,integumentarySystemDisease,endocrineSystemDisease,respiratoryOrThoracicDisease,urinarySystemDisease,musculoskeletalOrConnectiveTissueDisease,disorderOfEar,immuneSystemDisease,hematologicDisease,nervousSystemDisease,psychiatricDisorder,nutritionalOrMetabolicDisease,geneticFamilialOrCongenitalDisease,injuryPoisoningOrOtherComplication,signOrSymptom,other,totalStudies,approvedSymbol,lofConstraint,misConstraint,synConstraint,pathwayCount,tissueSpecificity,tissueDistribution,Term,ID
ENSG00000181449,6,4,0,0,0,1,57530.63913504606,311608.0072964156,2018-08-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,3,16,SOX2,0.698,2.9769,-0.26656,12,0.5,0.0,Signal Transduction;Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);Signaling by Interleukins;Interleukin-4 and Interleukin-13 signaling,R-HSA-162582;R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-449147;R-HSA-6785807
ENSG00000182255,6,4,0,0,0,1,63200.72664467542,1076472.0138856068,2019-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,2,7,KCNA4,0.727,2.7238,-0.6455,1,0.5,0.5,,
ENSG00000182446,4,4,1,0,0,1,14656.210545721095,274828.8365545636,2021-06-14,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,10,NPLOC4,0.574,2.6541,-0.93339,3,0.5,-1.0,Post-translational protein modification,R-HSA-597592
ENSG00000182621,4,4,1,0,0,1,66821.18426408028,358386.30063935445,2018-08-13,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8,PLCB1,0.643,3.7087,-0.012392,8,0.5,-1.0,Signal Transduction;Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion;Presynaptic function of Kainate receptors;G beta:gamma signalling through PLC beta;Free fatty acids regulate insulin secretion;Acetylcholine regulates insulin secretion;Activation of kainate receptors upon glutamate binding;G-protein beta:gamma signalling,R-HSA-162582;R-HSA-434316;R-HSA-500657;R-HSA-418217;R-HSA-400451;R-HSA-399997;R-HSA-451326;R-HSA-397795
ENSG00000183137,5,4,0,0,0,0,22541.66311868015,298504.9722193353,2013-04-01,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7,CEP57L1,0.051,1.483,0.89995,0,-1.0,-1.0,,
ENSG00000183166,7,4,0,0,0,1,53182.30026560605,323648.5577791949,2019-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,2,8,CALN1,0.102,1.2337,-1.0145,0,0.5,0.5,,
ENSG00000183475,5,4,0,0,0,1,101825.50588235294,414433.58532016096,2023-01-18,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9,ASB7,0.723,4.2943,-0.40492,2,-1.0,-1.0,Immune System;Post-translational protein modification,R-HSA-168256;R-HSA-597592
ENSG00000183621,5,4,1,0,0,1,38092.548464040476,124837.11004999638,2019-09-01,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,10,ZNF438,0.11799997,0.55806,0.5505,0,-1.0,-1.0,,
ENSG00000183742,4,4,0,0,0,1,46437.13674418605,521818.7070055739,2023-01-18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,MACC1,-0.29900002,-0.83645,0.039074,0,0.5,0.0,,
ENSG00000183955,7,4,1,0,0,1,69915.00897904889,281258.82202219026,2022-10-12,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,2,8,KMT5A,0.686,2.2717,0.5366,3,-1.0,-1.0,Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Condensation of Prophase Chromosomes,R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-2299718
ENSG00000184220,5,4,0,0,0,1,72982.48880358285,397765.9672627851,2023-01-18,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,5,CMSS1,-0.021000028,0.42162,1.1241,0,-1.0,-1.0,,
ENSG00000184304,6,4,1,0,0,1,80746.41870861933,1424218.0900670097,2014-07-22,0,0,0,0,2,5,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,12,PRKD1,0.23799998,0.97306,-0.30835,1,-1.0,0.0,Sphingolipid de novo biosynthesis,R-HSA-1660661
ENSG00000184305,4,4,0,0,0,1,40728.325602713354,1076472.0138856068,2020-06-15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5,CCSER1,0.41000003,-0.14238,-0.64954,0,0.5,0.5,,
ENSG00000184374,5,4,0,0,0,1,30508.10029756623,120940.93870730935,2019-06-07,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,COLEC10,-0.08200002,0.24254,-0.042065,2,1.0,0.5,Immune System,R-HSA-168256
ENSG00000184677,12,4,0,0,0,1,2630.136511375948,473900.221403792,2011-02-06,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,1,31,ZBTB40,0.397,2.7088,1.9045,0,-1.0,-1.0,,
ENSG00000184903,11,4,1,0,0,1,1173.5007132667617,1778690.168860174,2018-02-26,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,0,0,1,0,0,0,11,IMMP2L,-0.758,-0.32016,0.45707,0,-1.0,-1.0,,
ENSG00000185013,5,4,1,0,1,1,100857.20347685824,182108.85640724926,2018-08-13,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,NT5C1B,0.04699999,0.027955,0.11853,1,1.0,0.5,Purine catabolism;Metabolism of nucleotides,R-HSA-74259;R-HSA-15869
ENSG00000185022,11,4,1,0,0,1,5269.58845172284,1424218.0900670097,2022-06-23,11,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,MAFF,-0.95299995,0.087296,-1.0859,1,-1.0,-1.0,,
ENSG00000185053,10,4,0,0,0,1,95776.89591443514,1778690.168860174,2020-06-15,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,2,13,SGCZ,-0.33200002,-3.7968,-3.2746,1,0.5,1.0,,
ENSG00000185658,10,4,1,0,1,1,87748.84971094332,756470.9740366563,2021-08-24,0,0,0,0,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,13,BRWD1,0.553,3.3693,0.16006,2,-1.0,-1.0,Cytokine Signaling in Immune system;Immune System;Signaling by Interleukins,R-HSA-1280215;R-HSA-168256;R-HSA-449147
ENSG00000186205,4,4,0,0,1,1,51869.929302754055,384314.83364002535,2023-01-18,3,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11,MTARC1,-0.23000002,-0.41553,-0.80862,1,0.5,-1.0,,
ENSG00000186645,8,4,1,0,0,1,61498.92173410762,1470466.6505612188,2023-01-18,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,3,17,SPDYE17,,,,0,,,,
ENSG00000186687,4,4,1,0,0,1,62507.19385670474,235397.69820205137,2021-09-30,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,7,LYRM7,-0.89199996,-1.1113,-0.31643,1,0.5,-1.0,,
ENSG00000186767,6,4,0,0,0,1,58392.07057732553,298878.49542603496,2013-12-25,1,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,SPIN4,,,,0,-1.0,0.0,,
ENSG00000186889,5,4,1,0,0,1,2222.3233132932532,278190.43024910334,2012-03-08,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19,TMEM17,-0.29499996,-0.25519,-0.58951,0,-1.0,0.0,,
ENSG00000187091,9,4,1,0,1,1,10699.7425376247,1470466.6505612188,2018-08-13,5,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,3,19,PLCD1,0.046000004,1.9691,1.7941,1,-1.0,-1.0,,
ENSG00000187446,4,4,1,0,0,1,51964.39839555753,219793.50457789513,2019-10-24,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,CHP1,0.30900002,1.8604,-0.17147,1,-1.0,-1.0,Hyaluronan degradation,R-HSA-2160916
ENSG00000187498,20,4,1,1,0,1,6356.593451690605,502231.5406594711,2015-09-07,1,0,0,4,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,89,COL4A1,0.76199996,4.9877,-0.081603,14,0.5,0.0,Signal Transduction;Developmental Biology;Disease;Signaling by Receptor Tyrosine Kinases,R-HSA-162582;R-HSA-1266738;R-HSA-1643685;R-HSA-9006934
ENSG00000187664,6,4,0,0,0,1,15491.517664847557,314267.0072815654,2023-01-18,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,HAPLN4,-0.08399999,-0.99488,-1.2906,0,0.75,0.5,,
ENSG00000187720,9,4,1,0,0,1,6356.593451690605,414433.58532016096,2017-02-06,0,0,0,2,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,18,THSD4,0.273,-0.055119,0.1433,2,0.5,0.0,Disease;Post-translational protein modification,R-HSA-1643685;R-HSA-597592
ENSG00000188389,5,4,1,1,0,1,9080.538589728061,562534.7696387965,2019-03-28,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,1,9,PDCD1,0.10900003,1.421,-0.021219,2,0.5,0.5,Immune System;Disease,R-HSA-168256;R-HSA-1643685
ENSG00000188467,9,4,0,0,1,1,4418.329808439475,431284.57934287674,2023-01-18,11,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,SLC24A5,-0.16199994,0.82507,0.080507,2,1.0,0.5,Disease;Transport of inorganic cations/anions and amino acids/oligopeptides,R-HSA-1643685;R-HSA-425393
ENSG00000188738,5,4,0,0,1,1,21201.639474894007,95776.89591443514,2022-06-28,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,FSIP2,0.218,2.1642,2.5075,0,0.75,0.5,,
ENSG00000188897,8,4,1,0,1,1,104829.95456615865,360837.067725683,2017-10-30,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,6,ENSG00000188897,-0.75399995,-5.401,-4.6457,0,0.5,0.0,,
ENSG00000188981,4,4,1,0,0,1,58427.61478235146,338763.57771536184,2023-01-18,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,5,MSANTD1,0.26700002,-0.11522,-0.57282,0,0.5,0.5,,
ENSG00000189079,4,4,0,0,0,1,190279.23963861223,765591.3646788632,2020-06-15,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,ARID2,0.776,4.4902,-0.41966,3,-1.0,-1.0,Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription),R-HSA-212436;R-HSA-73857;R-HSA-74160
ENSG00000196141,9,4,1,0,0,1,32996.93546153374,756470.9740366563,2018-06-11,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,31,SPATS2L,0.278,1.089,0.42099,0,-1.0,-1.0,,
ENSG00000196296,5,4,1,0,0,1,46536.46918214105,1424218.0900670097,2020-06-15,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,ATP2A1,0.11900002,2.9172,1.2638,4,0.75,0.0,Signal Transduction,R-HSA-162582
ENSG00000196352,8,4,1,0,0,1,19943.263992703425,378712.0243337037,2022-07-13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,8,CD55,-0.23399997,0.32192,-0.62013,4,-1.0,-1.0,Signal Transduction;Immune System;Post-translational protein modification,R-HSA-162582;R-HSA-168256;R-HSA-597592
ENSG00000196353,6,4,1,0,0,1,118061.55082048493,1424218.0900670097,2020-06-15,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,12,CPNE4,0.45999998,3.2422,0.45748,0,0.75,0.5,,
ENSG00000196391,4,4,1,0,1,1,38092.548464040476,124837.11004999638,2019-09-01,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,5,ZNF774,-0.645,0.29163,1.072,1,-1.0,0.0,Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription),R-HSA-212436;R-HSA-73857;R-HSA-74160
ENSG00000196576,6,4,1,1,1,1,133918.94977035935,367949.31877243903,2020-04-27,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7,PLXNB2,0.45499998,3.4743,-1.8572,0,-1.0,-1.0,,
ENSG00000196620,6,4,1,0,0,1,122088.395356851,464892.4593283075,2018-08-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,6,UGT2B15,-0.102,-0.42532,-0.60178,3,0.75,0.5,Glucuronidation;Phase II - Conjugation of compounds;Aspirin ADME,R-HSA-156588;R-HSA-156580;R-HSA-9749641
ENSG00000196748,4,4,0,0,0,1,83932.6290685273,464892.4593283075,2020-12-11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,4,CLPSL2,-0.35599995,-0.58415,-2.0203,0,1.0,0.5,,
ENSG00000196990,7,4,0,0,0,1,54250.06986981613,539013.8231881644,2018-08-13,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,8,FAM163B,-0.56500006,-0.33854,-0.63143,0,1.0,0.5,,
ENSG00000197134,5,4,1,0,0,1,32705.240805002948,383158.3001114715,2019-02-04,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,ZNF257,-0.63399994,1.2621,1.3208,2,-1.0,0.0,Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Regulation of endogenous retroelements by KRAB-ZFP proteins,R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-9843940
ENSG00000197457,10,4,1,0,0,1,22540.468794299068,433862.5685735124,2020-04-27,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13,STMN3,-0.847,-1.2883,-2.2122,0,0.5,-1.0,,
ENSG00000197461,7,4,1,0,0,1,13883.57970142381,180089.50342935527,2018-08-13,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,2,14,PDGFA,0.63600004,0.73223,-1.2473,9,0.5,-1.0,Signal Transduction;Disease;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-162582;R-HSA-1643685;R-HSA-9006934;R-HSA-5663202
ENSG00000197635,7,4,1,0,0,1,74207.71608321255,323648.5577791949,2020-04-15,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,3,9,DPP4,0.09899998,0.6449,-0.017774,2,0.5,0.0,,
ENSG00000197757,4,4,1,0,0,1,93132.96870045633,500292.45069431677,2023-01-18,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6,HOXC6,0.32999998,1.391,0.71008,0,0.5,0.0,,
ENSG00000197872,11,4,1,0,0,1,2201.7501988862373,1470466.6505612188,2017-01-04,5,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,18,CYRIA,0.385,2.6696,0.94455,0,0.5,-1.0,,
ENSG00000198056,5,4,1,0,1,1,47450.88644524237,1424218.0900670097,2020-06-08,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,PRIM1,0.176,1.2394,-0.48029,9,0.5,-1.0,E2F mediated regulation of DNA replication;Inhibition of replication initiation of damaged DNA by RB1/E2F1;Disease,R-HSA-113510;R-HSA-113501;R-HSA-1643685
ENSG00000198121,5,4,1,0,1,1,21014.7618737575,205425.60717824215,2018-12-03,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,LPAR1,0.611,3.213,0.59658,3,1.0,0.0,Signal Transduction,R-HSA-162582
ENSG00000198408,6,4,0,1,0,1,25967.06754524981,232656.1405260205,2018-06-11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,7,OGA,0.68,3.5563,-0.75682,0,-1.0,-1.0,,
ENSG00000198561,10,4,1,0,0,1,64507.782812759775,1076472.0138856068,2019-02-04,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,11,CTNND1,0.81299996,2.7344,0.80449,6,-1.0,-1.0,Signal Transduction;Disease;Signaling by Receptor Tyrosine Kinases,R-HSA-162582;R-HSA-1643685;R-HSA-9006934
ENSG00000198646,6,4,1,0,0,1,48007.02989015681,782476.8109259979,2017-12-06,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,NCOA6,0.64100003,3.0424,1.1942,14,-1.0,-1.0,Developmental Biology;Gene expression (Transcription);Metabolism of steroids;Regulation of cholesterol biosynthesis by SREBP (SREBF),R-HSA-1266738;R-HSA-74160;R-HSA-8957322;R-HSA-1655829
ENSG00000198719,6,4,0,1,0,1,25056.289178133135,223386.61486493575,2011-09-29,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,DLL1,0.764,1.5314,-2.173,12,0.5,0.0,Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);Disease;Diseases of signal transduction by growth factor receptors and second messengers,R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-1643685;R-HSA-5663202
ENSG00000203747,4,4,0,0,1,1,1177.0449205252246,207559.43508869337,2013-07-03,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4,FCGR3A,-0.011999965,0.84666,0.57475,6,0.5,-1.0,Immune System;Disease,R-HSA-168256;R-HSA-1643685
ENSG00000203963,6,4,1,0,0,1,2506.878320343566,58331.23271678036,2011-10-23,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,1,10,C1orf141,-0.895,0.067271,0.25611,0,0.5,0.5,,
ENSG00000204381,6,4,1,0,0,1,76983.04900783773,322220.1169395476,2018-05-21,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,3,10,LAYN,-0.08200002,-0.022461,0.30978,0,-1.0,0.0,,
ENSG00000205403,9,4,1,1,1,0,2489.748511904762,378712.0243337037,2010-04-12,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,24,CFI,-0.075999975,0.28073,-0.20028,1,1.0,0.0,Immune System,R-HSA-168256
ENSG00000213221,5,4,1,0,0,1,18574.759037493004,136025.05987988086,2013-07-01,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,DNLZ,-0.95500004,-1.5426,-2.0246,0,-1.0,0.0,,
ENSG00000214078,5,4,1,0,1,1,8224.790081005125,282369.4803133209,2020-02-11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,CPNE1,-0.011999965,0.67652,1.2568,2,-1.0,-1.0,Immune System,R-HSA-168256
ENSG00000214595,5,4,1,0,0,1,48345.89330777902,220320.9576294899,2018-11-28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,6,EML6,0.274,-2.9156,-3.789,0,0.5,0.0,,
ENSG00000221843,4,4,0,0,0,1,21939.796916619583,294387.2978738704,2020-05-06,0,0,1,0,0,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,9,SPATA31H1,-0.78900003,2.4229,1.4687,0,0.75,0.5,,
ENSG00000226124,10,4,1,0,0,1,114817.16866287061,645988.1975077938,2018-10-03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,7,FTCDNL1,,,,0,-1.0,0.0,,
ENSG00000233276,5,4,1,0,0,1,78751.06843456876,715125.8126650311,2021-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,5,GPX1,-0.38,0.13169,-0.76477,4,-1.0,-1.0,Arachidonate metabolism,R-HSA-2142753
ENSG00000241058,10,4,0,0,0,1,46059.65662231034,633132.2332759313,2018-08-13,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,11,NSUN6,-0.546,-1.2071,-0.076774,1,0.5,-1.0,,
ENSG00000260456,5,4,0,0,0,1,6067.527905738457,356440.71671986027,2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,2,8,C16orf95,-0.694,-1.72,-1.0774,0,1.0,0.0,,
ENSG00000266472,5,4,1,0,0,1,916.5288107887209,1990918.947961699,2015-10-19,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,MRPS21,-0.60899997,0.49839,0.13097,3,-1.0,-1.0,Translation;Mitochondrial translation termination;Mitochondrial translation initiation;Mitochondrial translation elongation;Mitochondrial translation;Mitochondrial ribosome-associated quality control,R-HSA-72766;R-HSA-5419276;R-HSA-5368286;R-HSA-5389840;R-HSA-5368287;R-HSA-9937383
ENSG00000273540,5,4,0,0,0,1,279825.00883385167,498258.534626183,2023-01-18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,AGBL1,-0.31299996,-2.6251,-1.8073,1,0.75,0.5,Post-translational protein modification,R-HSA-597592
ENSG00000293569,5,4,0,0,0,1,2325.5337209302324,39507.00295325707,2011-05-29,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,ENSG00000293569,,,,0,,,,
ENSG00000000457,3,3,0,0,1,1,14424.741402471152,303059.79257468163,2024-07-19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,SCYL3,0.334,1.446,1.0769,0,-1.0,-1.0,,
ENSG00000005243,3,3,1,0,0,1,155978.81883421048,189845.9324918578,2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,COPZ2,-0.36699998,-0.11289,0.42463,2,-1.0,-1.0,Golgi-to-ER retrograde transport;COPI-dependent Golgi-to-ER retrograde traffic;Post-translational protein modification,R-HSA-8856688;R-HSA-6811434;R-HSA-597592
ENSG00000006016,3,3,1,0,0,1,178948.78717378277,256331.89034791503,2021-11-04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,CRLF1,-0.044999957,0.52571,-0.24105,2,0.5,0.0,Cytokine Signaling in Immune system;Immune System;Signaling by Interleukins,R-HSA-1280215;R-HSA-168256;R-HSA-449147
ENSG00000007341,4,3,1,0,0,1,1764.0167799089645,180344.38517486732,2020-01-20,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,ST7L,0.037999988,1.7886,0.81116,0,1.0,-1.0,,
ENSG00000019505,4,3,1,0,0,1,35292.77048385347,1778690.168860174,2019-11-18,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,7,SYT13,0.22299999,0.78116,-0.26832,0,0.5,0.0,,
ENSG00000031081,4,3,0,0,0,0,11252.882952659449,38054.41297287997,2011-11-06,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,ARHGAP31,0.62,2.7098,1.6132,4,-1.0,0.0,Signal Transduction,R-HSA-162582
ENSG00000032219,4,3,1,0,1,1,259002.9318385734,1424218.0900670097,2020-06-15,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,ARID4A,0.661,1.6165,0.45161,2,-1.0,-1.0,Disease,R-HSA-1643685
ENSG00000043355,4,3,0,0,0,1,63200.72664467542,326545.22790564946,2022-07-13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,6,ZIC2,0.48000002,0.46995,-3.5961,1,1.0,0.5,Developmental Biology,R-HSA-1266738
ENSG00000054793,4,3,1,0,0,1,89519.16315227402,414433.58532016096,2021-11-04,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,5,ATP9A,0.54499996,4.5023,-0.19705,1,0.5,-1.0,,
ENSG00000054938,7,3,1,1,0,1,45736.28457081111,110317.46949935023,2019-05-14,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,CHRDL2,0.0059999824,0.75831,0.33138,0,0.5,0.0,,
ENSG00000061492,5,3,1,0,0,1,55315.825152625155,1424218.0900670097,2017-04-17,0,0,0,0,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,WNT8A,-0.052000046,1.5214,0.44839,4,,,Signal Transduction,R-HSA-162582
ENSG00000064787,7,3,1,0,0,1,11330.61429528453,521818.7070055739,2021-01-04,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,18,BCAS1,0.14499998,0.13098,0.32698,0,1.0,0.0,,
ENSG00000070718,3,3,1,0,0,1,64245.57828610605,306980.8575290048,2023-01-18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,AP3M2,0.14200002,1.8602,0.11239,0,-1.0,-1.0,,
ENSG00000072694,3,3,1,1,0,1,5640.466626325344,28863.30790298137,2021-02-03,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,FCGR2B,0.004999995,1.4391,1.3262,1,1.0,-1.0,Immune System,R-HSA-168256
ENSG00000074370,4,3,1,0,0,1,260210.21963428933,713911.8939045856,2022-11-03,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,ATP2A3,0.241,2.0809,-0.14466,4,0.5,0.0,Signal Transduction,R-HSA-162582
ENSG00000078747,4,3,1,0,0,0,26667.58037719927,260210.21963428933,2020-09-04,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,ITCH,0.657,4.361,0.58067,10,-1.0,-1.0,Signal Transduction;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription);Disease;Downregulation of ERBB4 signaling;Signaling by Receptor Tyrosine Kinases,R-HSA-162582;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160;R-HSA-1643685;R-HSA-1253288;R-HSA-9006934
ENSG00000079263,9,3,1,0,0,1,1494.9871332990222,135108.48254553688,2008-08-31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,18,SP140,0.255,2.2313,0.72741,0,0.75,0.0,,
