approvedSymbol	geneId	ID	Term	uniqueDiseases	UMAP 1	UMAP 2	cluster
EIF4G3	ENSG00000075151	R-HSA-1280215;R-HSA-168256;R-HSA-1169408	Cytokine Signaling in Immune system;Immune System;ISG15 antiviral mechanism	2	4.6774683	4.7963467	-1
EIF5A2	ENSG00000163577	R-HSA-597592	Post-translational protein modification	3	23.8917	1.1533217	21
EIF5B	ENSG00000158417	R-HSA-72766	Translation	2	19.100882	7.9299917	23
ELF1	ENSG00000120690	R-HSA-212436;R-HSA-73857;R-HSA-74160	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)	5	9.351569	18.267998	36
ELF2	ENSG00000109381	R-HSA-212436;R-HSA-73857;R-HSA-74160	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)	1	10.070029	17.888147	36
ELF3	ENSG00000163435	R-HSA-162582	Signal Transduction	2	6.6007123	-14.834647	10
ELL	ENSG00000105656	R-HSA-212436;R-HSA-167152;R-HSA-167246;R-HSA-167169;R-HSA-167200;R-HSA-73857;R-HSA-74160;R-HSA-1643685;R-HSA-167290;R-HSA-167243;R-HSA-167287;R-HSA-167238;R-HSA-674695;R-HSA-112382;R-HSA-75955;R-HSA-167172;R-HSA-6807505;R-HSA-162587;R-HSA-162599;R-HSA-6781827	Generic Transcription Pathway;Formation of HIV elongation complex in the absence of HIV Tat;Tat-mediated elongation of the HIV-1 transcript;HIV Transcription Elongation;Formation of HIV-1 elongation complex containing HIV-1 Tat;RNA Polymerase II Transcription;Gene expression (Transcription);Disease;Pausing and recovery of HIV elongation;Tat-mediated HIV elongation arrest and recovery;HIV elongation arrest and recovery;Pausing and recovery of Tat-mediated HIV elongation;RNA Polymerase II Pre-transcription Events;Formation of RNA Pol II elongation complex;RNA Polymerase II Transcription Elongation;Transcription of the HIV genome;RNA polymerase II transcribes snRNA genes;HIV Life Cycle;Late Phase of HIV Life Cycle;Transcription-Coupled Nucleotide Excision Repair (TC-NER)	11	-0.33189547	0.23846059	-1
ELL2	ENSG00000118985	R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-6807505	RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);RNA polymerase II transcribes snRNA genes	4	-1.1550522	10.018165	43
ELMO1	ENSG00000155849	R-HSA-162582;R-HSA-168256;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Immune System;Disease;Signaling by Receptor Tyrosine Kinases	12	10.905588	1.4708416	-1
ELOA	ENSG00000011007	R-HSA-212436;R-HSA-167152;R-HSA-167246;R-HSA-167169;R-HSA-167200;R-HSA-73857;R-HSA-74160;R-HSA-1643685;R-HSA-167290;R-HSA-167243;R-HSA-167287;R-HSA-167238;R-HSA-674695;R-HSA-112382;R-HSA-75955;R-HSA-167172;R-HSA-162587;R-HSA-162599	Generic Transcription Pathway;Formation of HIV elongation complex in the absence of HIV Tat;Tat-mediated elongation of the HIV-1 transcript;HIV Transcription Elongation;Formation of HIV-1 elongation complex containing HIV-1 Tat;RNA Polymerase II Transcription;Gene expression (Transcription);Disease;Pausing and recovery of HIV elongation;Tat-mediated HIV elongation arrest and recovery;HIV elongation arrest and recovery;Pausing and recovery of Tat-mediated HIV elongation;RNA Polymerase II Pre-transcription Events;Formation of RNA Pol II elongation complex;RNA Polymerase II Transcription Elongation;Transcription of the HIV genome;HIV Life Cycle;Late Phase of HIV Life Cycle	1	-0.5187509	0.01579037	-1
ELOVL3	ENSG00000119915	R-HSA-75876;R-HSA-1266738;R-HSA-75105	Synthesis of very long-chain fatty acyl-CoAs;Developmental Biology;Fatty acyl-CoA biosynthesis	1	2.7737935	-2.0387986	-1
ELOVL4	ENSG00000118402	R-HSA-75876;R-HSA-75105	Synthesis of very long-chain fatty acyl-CoAs;Fatty acyl-CoA biosynthesis	1	14.357274	4.4349394	27
ELOVL6	ENSG00000170522	R-HSA-75876;R-HSA-75105;R-HSA-8957322;R-HSA-1655829	Synthesis of very long-chain fatty acyl-CoAs;Fatty acyl-CoA biosynthesis;Metabolism of steroids;Regulation of cholesterol biosynthesis by SREBP (SREBF)	2	3.8234413	-0.18896909	-1
ELOVL7	ENSG00000164181	R-HSA-75876;R-HSA-75105	Synthesis of very long-chain fatty acyl-CoAs;Fatty acyl-CoA biosynthesis	3	14.146564	4.662547	27
EMID1	ENSG00000186998	R-HSA-597592	Post-translational protein modification	5	24.055416	2.341646	21
EML4	ENSG00000143924	R-HSA-1643685;R-HSA-5663202	Disease;Diseases of signal transduction by growth factor receptors and second messengers	1	30.850643	20.841324	2
EMX2	ENSG00000170370	R-HSA-1266738	Developmental Biology	6	-16.399435	5.790102	5
ENAH	ENSG00000154380	R-HSA-168256;R-HSA-1266738	Immune System;Developmental Biology	1	5.0306864	6.6391487	-1
ENO3	ENSG00000108515	R-HSA-70263	Gluconeogenesis	1	2.8332508	-3.7718961	-1
ENO4	ENSG00000188316	R-HSA-70263	Gluconeogenesis	3	2.765942	-3.8017862	-1
ENPEP	ENSG00000138792	R-HSA-2022377	Metabolism of Angiotensinogen to Angiotensins	3	4.7398834	-0.0073865354	-1
ENPP1	ENSG00000197594	R-HSA-199220	Vitamin B5 (pantothenate) metabolism	3	-24.362604	0.80733734	-1
ENPP3	ENSG00000154269	R-HSA-199220	Vitamin B5 (pantothenate) metabolism	2	-24.593822	0.5760731	-1
ENSA	ENSG00000143420	R-HSA-2465910	MASTL Facilitates Mitotic Progression	2	19.663958	5.576306	-1
ENTPD3	ENSG00000168032	R-HSA-15869	Metabolism of nucleotides	1	-5.4221106	13.326099	11
ENTPD4	ENSG00000197217	R-HSA-15869	Metabolism of nucleotides	2	-5.475413	13.59581	11
ENTPD6	ENSG00000197586	R-HSA-15869	Metabolism of nucleotides	1	-5.7792053	13.599656	11
ENTPD7	ENSG00000198018	R-HSA-15869	Metabolism of nucleotides	2	-5.5197296	13.589804	11
EOMES	ENSG00000163508	R-HSA-1266738;R-HSA-9823730	Developmental Biology;Formation of definitive endoderm	10	3.442425	-1.4887061	-1
EP300	ENSG00000100393	R-HSA-162582;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-1643685;R-HSA-9006934;R-HSA-9819196;R-HSA-5663202;R-HSA-2173796;R-HSA-2173793;R-HSA-201722;R-HSA-597592;R-HSA-8864260;R-HSA-8878159	Signal Transduction;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);Disease;Signaling by Receptor Tyrosine Kinases;Zygotic genome activation (ZGA);Diseases of signal transduction by growth factor receptors and second messengers;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription;Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer;Formation of the beta-catenin:TCF transactivating complex;Post-translational protein modification;Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors;Transcriptional regulation by RUNX3	20	1.5824485	3.4920535	56
EPC1	ENSG00000120616	R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-8953750	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Transcriptional Regulation by E2F6	4	16.761885	0.118250005	36
EPHA1	ENSG00000146904	R-HSA-1266738;R-HSA-3928665	Developmental Biology;EPH-ephrin mediated repulsion of cells	2	12.979355	2.407402	-1
EPHA3	ENSG00000044524	R-HSA-1266738;R-HSA-3928665	Developmental Biology;EPH-ephrin mediated repulsion of cells	10	12.818822	2.5841079	-1
EPHA4	ENSG00000116106	R-HSA-1266738;R-HSA-3928665	Developmental Biology;EPH-ephrin mediated repulsion of cells	2	12.58795	2.6979356	-1
EPHA5	ENSG00000145242	R-HSA-1266738;R-HSA-3928665	Developmental Biology;EPH-ephrin mediated repulsion of cells	8	12.942561	2.3965325	-1
EPHA7	ENSG00000135333	R-HSA-1266738;R-HSA-3928665	Developmental Biology;EPH-ephrin mediated repulsion of cells	3	12.816329	2.6655917	-1
EPHB1	ENSG00000154928	R-HSA-3928664;R-HSA-1266738;R-HSA-3928665	Ephrin signaling;Developmental Biology;EPH-ephrin mediated repulsion of cells	4	12.651408	2.3980966	-1
EPHB2	ENSG00000133216	R-HSA-3928664;R-HSA-1266738;R-HSA-3928665	Ephrin signaling;Developmental Biology;EPH-ephrin mediated repulsion of cells	3	12.606368	2.460276	-1
EPHX2	ENSG00000120915	R-HSA-9033241;R-HSA-2142753	Peroxisomal protein import;Arachidonate metabolism	2	3.3329268	-0.5825191	-1
EPM2A	ENSG00000112425	R-HSA-8982491;R-HSA-1643685	Glycogen metabolism;Disease	1	7.8793244	-0.39791897	-1
EPO	ENSG00000130427	R-HSA-162582	Signal Transduction	2	6.267599	-14.79423	10
EPOR	ENSG00000187266	R-HSA-162582	Signal Transduction	1	6.1255727	-14.258994	10
EPS15	ENSG00000085832	R-HSA-162582;R-HSA-1643685;R-HSA-9006934	Signal Transduction;Disease;Signaling by Receptor Tyrosine Kinases	2	-17.702562	-2.4172578	-1
EPS15L1	ENSG00000127527	R-HSA-162582;R-HSA-9006934	Signal Transduction;Signaling by Receptor Tyrosine Kinases	1	-17.381382	21.469727	9
ERAP1	ENSG00000164307	R-HSA-168256	Immune System	19	-5.0498505	-22.20305	31
ERAP2	ENSG00000164308	R-HSA-168256	Immune System	6	-4.9706697	-21.991257	31
ERBB2	ENSG00000141736	R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-9634285;R-HSA-1266738;R-HSA-74160;R-HSA-1643685;R-HSA-9006934;R-HSA-5663202;R-HSA-8864260	Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Constitutive Signaling by Overexpressed ERBB2;Developmental Biology;Gene expression (Transcription);Disease;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers;Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	3	-0.61300176	2.597186	60
ERBB3	ENSG00000065361	R-HSA-162582;R-HSA-1643685;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Disease;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	5	-16.463787	-2.6549134	34
ERBB4	ENSG00000178568	R-HSA-162582;R-HSA-1643685;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Disease;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	19	-16.324553	-2.2890222	34
ERBIN	ENSG00000112851	R-HSA-162582;R-HSA-9634285;R-HSA-1643685;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Constitutive Signaling by Overexpressed ERBB2;Disease;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	1	10.744316	-2.6538892	-1
ERCC3	ENSG00000163161	R-HSA-167160;R-HSA-77075;R-HSA-72086;R-HSA-113418;R-HSA-167158;R-HSA-73779;R-HSA-167161;R-HSA-76042;R-HSA-75953;R-HSA-167162;R-HSA-73776;R-HSA-212436;R-HSA-167152;R-HSA-167246;R-HSA-167169;R-HSA-167200;R-HSA-73857;R-HSA-73863;R-HSA-6781823;R-HSA-74160;R-HSA-73772;R-HSA-1643685;R-HSA-5250941;R-HSA-427413;R-HSA-674695;R-HSA-112382;R-HSA-75955;R-HSA-167172;R-HSA-73762;R-HSA-6782210;R-HSA-5696395;R-HSA-73864;R-HSA-73854;R-HSA-6782135;R-HSA-162587;R-HSA-162599;R-HSA-6781827	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection;RNA Pol II CTD phosphorylation and interaction with CE;mRNA Capping;Formation of the Early Elongation Complex;Formation of the HIV-1 Early Elongation Complex;RNA Polymerase II Transcription Pre-Initiation And Promoter Opening;HIV Transcription Initiation;RNA Polymerase II Transcription Initiation And Promoter Clearance;RNA Polymerase II Transcription Initiation;RNA Polymerase II HIV Promoter Escape;RNA Polymerase II Promoter Escape;Generic Transcription Pathway;Formation of HIV elongation complex in the absence of HIV Tat;Tat-mediated elongation of the HIV-1 transcript;HIV Transcription Elongation;Formation of HIV-1 elongation complex containing HIV-1 Tat;RNA Polymerase II Transcription;RNA Polymerase I Transcription Termination;Formation of TC-NER Pre-Incision Complex;Gene expression (Transcription);RNA Polymerase I Promoter Escape;Disease;Negative epigenetic regulation of rRNA expression;NoRC negatively regulates rRNA expression;RNA Polymerase II Pre-transcription Events;Formation of RNA Pol II elongation complex;RNA Polymerase II Transcription Elongation;Transcription of the HIV genome;RNA Polymerase I Transcription Initiation;Gap-filling DNA repair synthesis and ligation in TC-NER;Formation of Incision Complex in GG-NER;RNA Polymerase I Transcription;RNA Polymerase I Promoter Clearance;Dual incision in TC-NER;HIV Life Cycle;Late Phase of HIV Life Cycle;Transcription-Coupled Nucleotide Excision Repair (TC-NER)	1	0.8134454	1.0132105	48
ERCC4	ENSG00000175595	R-HSA-5696395;R-HSA-6782135;R-HSA-6781827	Formation of Incision Complex in GG-NER;Dual incision in TC-NER;Transcription-Coupled Nucleotide Excision Repair (TC-NER)	12	4.348187	0.22049357	-1
ERCC5	ENSG00000134899	R-HSA-5696395;R-HSA-6782135;R-HSA-6781827	Formation of Incision Complex in GG-NER;Dual incision in TC-NER;Transcription-Coupled Nucleotide Excision Repair (TC-NER)	1	4.3086634	0.39150873	-1
ERCC6	ENSG00000225830	R-HSA-6781823;R-HSA-74160;R-HSA-427389;R-HSA-73762;R-HSA-6782210;R-HSA-73864;R-HSA-73854;R-HSA-6782135;R-HSA-6781827	Formation of TC-NER Pre-Incision Complex;Gene expression (Transcription);ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression;RNA Polymerase I Transcription Initiation;Gap-filling DNA repair synthesis and ligation in TC-NER;RNA Polymerase I Transcription;RNA Polymerase I Promoter Clearance;Dual incision in TC-NER;Transcription-Coupled Nucleotide Excision Repair (TC-NER)	1	1.5383508	2.6375015	-1
ERI1	ENSG00000104626	R-HSA-72312	rRNA processing	2	-9.869848	26.92557	13
ERLEC1	ENSG00000068912	R-HSA-162582;R-HSA-1643685;R-HSA-5358346;R-HSA-5362768;R-HSA-5387390;R-HSA-5663202	Signal Transduction;Disease;Hedgehog ligand biogenesis;Hh mutants are degraded by ERAD;Hh mutants abrogate ligand secretion;Diseases of signal transduction by growth factor receptors and second messengers	2	10.555172	-2.8450725	-1
ERLIN1	ENSG00000107566	R-HSA-1643685	Disease	9	-12.940839	-3.2775862	3
ERP44	ENSG00000023318	R-HSA-168256	Immune System	3	-5.2034073	-20.942446	31
ESR1	ENSG00000091831	R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-1643685;R-HSA-9006934;R-HSA-5663202;R-HSA-8931987;R-HSA-597592;R-HSA-8864260	Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Disease;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers;RUNX1 regulates estrogen receptor mediated transcription;Post-translational protein modification;Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	59	1.3458275	1.3948959	59
ESR2	ENSG00000140009	R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-1643685;R-HSA-5663202	Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Disease;Diseases of signal transduction by growth factor receptors and second messengers	12	-2.0166483	1.8493375	-1
ESRP1	ENSG00000104413	R-HSA-162582;R-HSA-1643685;R-HSA-9006934;R-HSA-5663202	Signal Transduction;Disease;Signaling by Receptor Tyrosine Kinases;Diseases of signal transduction by growth factor receptors and second messengers	1	-16.57932	-2.756597	34
ESRRG	ENSG00000196482	R-HSA-212436;R-HSA-73857;R-HSA-74160	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)	3	9.550065	18.661663	36
ETF1	ENSG00000120705	R-HSA-1266738;R-HSA-9629569;R-HSA-72766;R-HSA-9010553;R-HSA-975956;R-HSA-597592	Developmental Biology;Protein hydroxylation;Translation;Regulation of expression of SLITs and ROBOs;Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC);Post-translational protein modification	2	3.6817799	-3.5873208	-1
ETV4	ENSG00000175832	R-HSA-162582	Signal Transduction	1	6.611756	-14.498118	10
ETV6	ENSG00000139083	R-HSA-1643685;R-HSA-5663202	Disease;Diseases of signal transduction by growth factor receptors and second messengers	5	31.046597	20.835493	2
EVL	ENSG00000196405	R-HSA-162582;R-HSA-168256;R-HSA-1266738	Signal Transduction;Immune System;Developmental Biology	1	6.8723435	5.343753	-1
EVPL	ENSG00000167880	R-HSA-1266738	Developmental Biology	1	-15.70346	6.1151304	5
EXO1	ENSG00000174371	R-HSA-212436;R-HSA-73857;R-HSA-74160;R-HSA-1643685	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription);Disease	13	14.109866	21.43513	47
EXOC1	ENSG00000090989	R-HSA-5620916;R-HSA-5620920	VxPx cargo-targeting to cilium;Cargo trafficking to the periciliary membrane	1	20.133205	-5.2957025	28
EXOC2	ENSG00000112685	R-HSA-5620916;R-HSA-5620920	VxPx cargo-targeting to cilium;Cargo trafficking to the periciliary membrane	11	20.220203	-5.2247353	28
EXOC3	ENSG00000180104	R-HSA-5620916;R-HSA-5620920	VxPx cargo-targeting to cilium;Cargo trafficking to the periciliary membrane	2	20.41513	-5.327033	28
EXOC4	ENSG00000131558	R-HSA-5620916;R-HSA-5620920	VxPx cargo-targeting to cilium;Cargo trafficking to the periciliary membrane	4	20.373455	-4.9828286	28
EXOC6	ENSG00000138190	R-HSA-5620916;R-HSA-5620920	VxPx cargo-targeting to cilium;Cargo trafficking to the periciliary membrane	3	20.17282	-5.0798345	28
EXOSC9	ENSG00000123737	R-HSA-381042;R-HSA-380994;R-HSA-9930044;R-HSA-72312	PERK regulates gene expression;ATF4 activates genes in response to endoplasmic reticulum  stress;Nuclear RNA decay;rRNA processing	1	6.4547887	-3.4747903	-1
EXT1	ENSG00000182197	R-HSA-1643685;R-HSA-2022928;R-HSA-1638091	Disease;HS-GAG biosynthesis;Heparan sulfate/heparin (HS-GAG) metabolism	5	6.4944515	-3.7672594	-1
EYA1	ENSG00000104313	R-HSA-1266738	Developmental Biology	7	-15.556929	5.0585437	5
EZH2	ENSG00000106462	R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-1266738;R-HSA-74160;R-HSA-1643685;R-HSA-8953750	Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Developmental Biology;Gene expression (Transcription);Disease;Transcriptional Regulation by E2F6	4	-1.0714935	3.8281538	60
F10	ENSG00000126218	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	4	22.938225	17.596922	44
F11	ENSG00000088926	R-HSA-1643685	Disease	20	-12.811373	-2.638486	3
F11R	ENSG00000158769	R-HSA-162582;R-HSA-420029	Signal Transduction;Tight junction interactions	2	9.440505	-1.2616382	-1
F12	ENSG00000131187	R-HSA-1643685	Disease	2	-12.827813	-2.4659116	3
F2	ENSG00000180210	R-HSA-162582;R-HSA-168256;R-HSA-1643685;R-HSA-597592	Signal Transduction;Immune System;Disease;Post-translational protein modification	21	7.648882	-0.15662482	53
F2R	ENSG00000181104	R-HSA-162582	Signal Transduction	1	6.5117154	-14.675831	10
F2RL1	ENSG00000164251	R-HSA-162582	Signal Transduction	1	6.343858	-14.5303545	10
F5	ENSG00000198734	R-HSA-597592	Post-translational protein modification	45	23.507788	2.1933398	21
F8	ENSG00000185010	R-HSA-1643685;R-HSA-597592	Disease;Post-translational protein modification	1	23.313602	17.578226	44
F9	ENSG00000101981	R-HSA-9629569;R-HSA-1643685;R-HSA-597592	Protein hydroxylation;Disease;Post-translational protein modification	2	5.178711	-2.9556015	-1
FAAH2	ENSG00000165591	R-HSA-2142753	Arachidonate metabolism	2	14.169873	5.6506286	27
FAAP20	ENSG00000162585	R-HSA-1280215;R-HSA-168256	Cytokine Signaling in Immune system;Immune System	1	-16.423391	-14.619145	30
FAAP24	ENSG00000131944	R-HSA-1280215;R-HSA-168256	Cytokine Signaling in Immune system;Immune System	1	-16.807474	-14.743643	30
FABP5	ENSG00000164687	R-HSA-162582;R-HSA-168256	Signal Transduction;Immune System	1	23.656597	23.486479	49
FAM114A2	ENSG00000055147	R-HSA-1643685;R-HSA-5663202	Disease;Diseases of signal transduction by growth factor receptors and second messengers	2	30.932993	21.047585	2
FAM120B	ENSG00000112584	R-HSA-1266738	Developmental Biology	2	-15.776232	5.2129483	5
FAM13A	ENSG00000138640	R-HSA-162582	Signal Transduction	9	6.3553743	-14.698139	10
FAM13B	ENSG00000031003	R-HSA-162582	Signal Transduction	4	6.620239	-14.521025	10
FAM20A	ENSG00000108950	R-HSA-597592	Post-translational protein modification	2	23.806747	2.3913686	21
FAM83A	ENSG00000147689	R-HSA-162582;R-HSA-9006934	Signal Transduction;Signaling by Receptor Tyrosine Kinases	1	-17.433992	21.71217	9
FAM83B	ENSG00000168143	R-HSA-162582;R-HSA-9006934	Signal Transduction;Signaling by Receptor Tyrosine Kinases	1	-16.56504	21.636946	9
FAM98B	ENSG00000171262	R-HSA-6784531	tRNA processing in the nucleus	1	4.3476896	-2.9893339	-1
FANCA	ENSG00000187741	R-HSA-1280215;R-HSA-168256	Cytokine Signaling in Immune system;Immune System	12	-17.232439	-14.593349	30
FANCC	ENSG00000158169	R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160	Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription)	4	2.7249866	5.7472444	-1
FANCD2	ENSG00000144554	R-HSA-212436;R-HSA-73857;R-HSA-74160	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)	3	9.370719	18.199139	36
FANCE	ENSG00000112039	R-HSA-1280215;R-HSA-168256	Cytokine Signaling in Immune system;Immune System	2	-17.207483	-14.671243	30
FANCI	ENSG00000140525	R-HSA-212436;R-HSA-73857;R-HSA-74160	Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)	1	9.731321	18.658497	36
FANCL	ENSG00000115392	R-HSA-1280215;R-HSA-168256	Cytokine Signaling in Immune system;Immune System	18	-17.064333	-14.545458	30
FARP1	ENSG00000152767	R-HSA-162582	Signal Transduction	5	6.372492	-14.25474	10
FARP2	ENSG00000006607	R-HSA-162582;R-HSA-1266738	Signal Transduction;Developmental Biology	5	-12.43649	10.658908	42
FARSB	ENSG00000116120	R-HSA-379724;R-HSA-379716;R-HSA-72766	tRNA Aminoacylation;Cytosolic tRNA aminoacylation;Translation	1	11.347126	11.371026	23
FAS	ENSG00000026103	R-HSA-162582;R-HSA-212436;R-HSA-73857;R-HSA-74160	Signal Transduction;Generic Transcription Pathway;RNA Polymerase II Transcription;Gene expression (Transcription)	5	-4.9751763	1.8961124	51
FASLG	ENSG00000117560	R-HSA-162582;R-HSA-1280215;R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160;R-HSA-1643685;R-HSA-449147;R-HSA-6785807	Signal Transduction;Cytokine Signaling in Immune system;Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription);Disease;Signaling by Interleukins;Interleukin-4 and Interleukin-13 signaling	17	3.0275738	4.72768	56
FASN	ENSG00000169710	R-HSA-162582;R-HSA-199220;R-HSA-75105;R-HSA-8957322;R-HSA-1655829	Signal Transduction;Vitamin B5 (pantothenate) metabolism;Fatty acyl-CoA biosynthesis;Metabolism of steroids;Regulation of cholesterol biosynthesis by SREBP (SREBF)	1	5.501567	-0.41771644	-1
FBN1	ENSG00000166147	R-HSA-162582;R-HSA-597592	Signal Transduction;Post-translational protein modification	8	4.1133294	11.648675	40
FBP1	ENSG00000165140	R-HSA-70263	Gluconeogenesis	1	2.6149445	-3.7194011	-1
FBXL13	ENSG00000161040	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	3	-24.391642	17.612125	46
FBXL14	ENSG00000171823	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	1	-25.03069	17.62756	46
FBXL20	ENSG00000108306	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	6	-24.399591	18.037685	46
FBXL22	ENSG00000197361	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	10	-24.623365	18.011356	46
FBXL4	ENSG00000112234	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	1	-24.390581	17.756351	46
FBXL7	ENSG00000183580	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	1	-25.089483	17.904673	46
FBXO11	ENSG00000138081	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	3	-24.495193	17.69901	46
FBXO22	ENSG00000167196	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	1	-24.682781	18.203787	46
FBXO32	ENSG00000156804	R-HSA-212436;R-HSA-168256;R-HSA-73857;R-HSA-74160;R-HSA-597592	Generic Transcription Pathway;Immune System;RNA Polymerase II Transcription;Gene expression (Transcription);Post-translational protein modification	5	1.2772166	4.9585977	-1
FBXO5	ENSG00000112029	R-HSA-69205	G1/S-Specific Transcription	1	2.8099344	1.89178	-1
FBXO7	ENSG00000100225	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	1	-24.58318	17.61018	46
FBXW7	ENSG00000109670	R-HSA-162582;R-HSA-168256;R-HSA-1643685;R-HSA-5663202;R-HSA-597592	Signal Transduction;Immune System;Disease;Diseases of signal transduction by growth factor receptors and second messengers;Post-translational protein modification	4	7.934581	-0.65530074	53
FBXW8	ENSG00000174989	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	2	-24.56358	18.290886	46
FCAR	ENSG00000186431	R-HSA-168256	Immune System	3	-5.6052566	-20.968746	31
FCER1A	ENSG00000179639	R-HSA-168256	Immune System	1	-6.3421407	-21.440985	31
FCER1G	ENSG00000158869	R-HSA-168256;R-HSA-75892	Immune System;Platelet Adhesion to exposed collagen	7	4.937199	3.687512	-1
FCF1	ENSG00000119616	R-HSA-72312	rRNA processing	2	-10.217395	26.823393	13
FCGR2A	ENSG00000143226	R-HSA-168256;R-HSA-1643685	Immune System;Disease	15	-7.020455	17.532532	-1
FCGR2B	ENSG00000072694	R-HSA-168256	Immune System	3	-6.1789207	-21.446606	31
FCGR3A	ENSG00000203747	R-HSA-168256;R-HSA-1643685	Immune System;Disease	4	-6.5357738	17.2065	-1
FCGR3B	ENSG00000162747	R-HSA-168256;R-HSA-597592	Immune System;Post-translational protein modification	5	-24.789	18.186125	46
FCN1	ENSG00000085265	R-HSA-168256	Immune System	3	-5.9363594	-22.205109	31
FDPS	ENSG00000160752	R-HSA-191273;R-HSA-8957322;R-HSA-1655829	Cholesterol biosynthesis;Metabolism of steroids;Regulation of cholesterol biosynthesis by SREBP (SREBF)	2	11.979022	6.246574	22
FDX1	ENSG00000137714	R-HSA-1643685;R-HSA-196108;R-HSA-8957322;R-HSA-597592	Disease;Pregnenolone biosynthesis;Metabolism of steroids;Post-translational protein modification	4	4.9310837	0.20326081	-1
FDX2	ENSG00000267673	R-HSA-1643685;R-HSA-1362409;R-HSA-196108;R-HSA-8957322	Disease;Mitochondrial iron-sulfur cluster biogenesis;Pregnenolone biosynthesis;Metabolism of steroids	1	5.6653895	0.54917145	-1
FECH	ENSG00000066926	R-HSA-189451	Heme biosynthesis	1	7.234969	3.3406649	-1
FEN1	ENSG00000168496	R-HSA-1643685;R-HSA-162587	Disease;HIV Life Cycle	2	1.691033	-2.1666152	-1
FER	ENSG00000151422	R-HSA-162582;R-HSA-9006934	Signal Transduction;Signaling by Receptor Tyrosine Kinases	17	-16.812279	21.331955	9
FERMT2	ENSG00000073712	R-HSA-162582	Signal Transduction	13	6.1804695	-15.213089	10
